GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myproject,default,Example,10,0,0,0,4,0,3,0,3,0
myproject,default,PhoneNumberCheckUtils,7,30,3,1,1,9,3,3,1,3
